Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Burundi,BDI,"Population, total",SP.POP.TOTL,4312834,4490743,4602271,4726506,4842268,4948024,5041706,5157769,5271840,5373697,5483793,5594828,5743085,5555220,5586408,5932783,5930507,5923862,6035340,6180180,6307659,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,919726666.666667,969046666.666667,1013222222.22222,1082926304.46477,987143931.166987,1149979285.77347,1201725497.06578,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770740.207416,808077223.365746,870486065.883137,876794723.068586,825394519.423728,784654423.620476,915257323.3961,1117113079.73645,1273375078.44844,1356199387.42308,1611835857.04588,1781455139.85931,2032135192.01248,2235820809.32006,2333341334.45753,2451606632.29246,2705783329.80483,3104003546.26497,2644487776.50077,2723586962.84034,2667182199.51333,2576518879.82353
Burundi,BDI,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,..,..,..,..,..,..,..,..,..,..,5.98556154520156,4.09314079275475,5.40176069954681,7.74264567579905,6.63844545647953,16.1027117424962,14.4531114060499,32.3977892307747,11.4505560048054,14.9541402608853,13.1788357555569,13.7164067920133,1.02785857373888,11.9457486448591,13.1461593314354,18.8415894769233,2.84566633376673,8.27337562886336,24.2157937434401,10.4587965254196,8.56155516425477,8.36425019828808,14.294071682425,7.9531039994456,5.30565602774391,21.3187470230149,0.97317644189674,11.4491826066034,-2.85085930198137,0.851867434793434
Burundi,BDI,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.935356887149965,0.818644246560219,0.811386666298343,1.3481961735312,2.43591773653158,2.31692634157116,2.96567156832785,4.23999127622108,4.3722317965844,3.90281209507389,3.79505487758829,3.39639456826271,3.70414877251914,3.88498129912966,4.47985662583676,3.90990694368674,3.61933968498787,3.06361459149184,3.44724015032767,3.74747454350212,2.55868846413209,2.71595947764216,2.91562712536028,3.86004460485234,9.95090738529661,3.63953371093758,1.57939605110279,1.34777677647789,1.22115777651089,1.12592549805291,0.216438850297293,0.429982870170307,0.890744508161998,1.31417977892452,0.978244175105294,0.867539084799958,1.26379708635911,1.00258145850772,1.12167969001283,1.45893142153691
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,169.530281661481,173.686337471399,168.254295165199,183.983348554294,161.602397027734,185.764659055847,183.800390124339,164.842370176753,153.131192353073,154.215258262436,149.249788359154,153.81949259043,135.931481042864,121.162749655007,114.092188689334,103.883765436996,82.3050400120126,101.043055966466,87.8251225224171,92.0441107053068,101.215468890145,90.2505741013015,75.8459181614786,50.8031895732322,68.9453764048888,87.821822204905,104.461317570979,89.5895731586908,102.163676751243,111.863384731219,137.801936229988,143.933545612263,163.632263137615,168.763875092662,180.931615965556,208.080391888021,165.447320510769,165.851121590834,168.281155714724,157.475485123146
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,90,90,90,92.9483333331667,119.709166666167,120.690749999417,114.171083333167,123.563833333333,140.395,158.666666666667,171.255416666667,181.512583333333,208.302666666667,242.78,252.6625,249.7575,302.746666666667,352.350833333333,447.765833333333,563.5625,720.673333333333,830.353333333333,930.749166666667,1082.62,1100.9,1081.57716666667,1028.683553,1081.8696825,1185.69083333333,1230.17916666667,1230.74833333333,1261.07333333333,1442.505625,1555.09083333333,1546.68666666667,1571.89833333333,1654.62666666667,1729.055,1782.876875,1845.62289069697
Chad,TCD,"Population, total",SP.POP.TOTL,4408230,4409225,4622828,4859173,4920556,4967590,5118160,5300852,5483038,5670619,5827069,6042428,6302926,6448280,6592998,6888856,7200291,7450874,7709115,7981889,8259137,8538804,8838369,9196366,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1033002403.85304,876937558.273757,834369859.663018,832415806.010064,919103734.876996,1033069709.3319,1067828245.86207,1163426852.20442,1482597297.98821,1433686312.02914,1738605557.76313,1877137981.75712,1881847669.69794,1463251163.9188,1179837963.22213,1445919894.57661,1607345355.78298,1544689576.92712,1744794531.21401,1534673583.2487,1388506771.58756,1710843377.00119,1997005708.81576,2742815071.5744,4422855660.82592,6649307523.64377,7428701453.91509,8650137743.32547,10393833765.3651,9290728318.98821,10668103554.1192,12172308851.0395,12367362757.1342,12953534866.4286,13940767218.5849,10950392256.9543,10097778098.1707,10000394381.0177,11239167898.3395,11314951091.7283
Chad,TCD,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,..,..,..,..,..,..,..,..,..,..,8.01232903488547,3.0734989661165,-12.9065538294357,-1.31460371890813,43.5449637733589,8.83312726645855,11.4584549508316,3.78278546499355,6.74940882900434,-7.57286628466451,5.2898048599024,13.797652751767,1.90781944012426,0.0790046920912317,9.73425647986646,23.0012300123001,9.98442792041423,3.30193426256776,8.64881979028074,-9.55875447756326,6.3911950513067,8.58039895814788,1.09724571223187,-4.14136740417744,0.645785332472741,-8.48001725832678,-1.40083927949904,0.0282519135155042,5.01465777807508,2.85603411987745
Chad,TCD,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.576834760580201,0.872471812203298,0.208282733794582,0.136278967878224,0.841500400597398,1.69574799856929,0.746258581839988,0.652938694158616,0.654495814553458,0.819908350532293,0.687034536819859,0.536366364369092,0.493555833692574,0.956763098866429,1.33813157126581,1.0627649019,1.73566955993796,2.12966994562937,1.7064533541863,1.90123394784429,1.82211424343938,1.21207254159441,1.41749982449866,1.80237474308855,1.05140533526987,0.970669758173662,0.919406937716965,0.920860510041081,1.57353052891882,0.872586048926433,0.709269682017102,0.698391474756328,0.693006429307068,0.968034381213158,4.41893856870309,1.0615376764517,1.62882708383129,1.68370217585519,1.59256867717336,1.1952236652295
